# utm_east, utm_north, elevation
597527.086,7508199.715,436.81528
597525.735,7508207.581,437.23978
597524.391,7508215.448,437.53995
597523.108,7508223.325,437.93094
597521.824,7508231.202,438.29272
597520.597,7508239.086,438.75192
597519.958,7508247.042,439.22009
597519.319,7508254.997,439.51862
597518.668,7508262.951,439.90329
597517.845,7508270.890,440.24789
597517.021,7508278.828,440.65768
597516.281,7508286.770,441.11658
597516.398,7508294.750,441.49017
597516.514,7508302.730,441.83618
597516.603,7508310.710,442.09619
597516.370,7508318.688,442.46786
597516.137,7508326.666,442.73837
597515.949,7508334.643,442.94339
597516.359,7508342.613,443.19019
597516.770,7508350.584,443.60312
597517.194,7508358.553,443.93417
597517.779,7508366.513,444.33194
597518.364,7508374.472,444.57813
597518.979,7508382.429,444.87283
597519.916,7508390.355,445.21957
597520.853,7508398.280,445.54117
597521.843,7508406.198,445.73062
597523.266,7508414.051,445.89923
597524.689,7508421.905,445.99597
597526.142,7508429.752,446.14511
597527.761,7508437.567,446.16129
597529.380,7508445.382,446.10568
597531.080,7508453.177,446.10815
597533.236,7508460.862,446.11633
597535.392,7508468.546,446.11948
597537.542,7508476.232,446.13333
597539.652,7508483.929,446.10303
597541.762,7508491.626,446.07117
597543.880,7508499.321,446.07666
597546.042,7508507.003,446.07047
597548.205,7508514.686,446.08716
597550.470,7508522.336,446.07001
597553.112,7508529.867,446.04828
597555.753,7508537.398,446.03922
597558.485,7508544.895,446.05829
597561.526,7508552.273,446.06235
597564.568,7508559.652,446.04816
597567.593,7508567.038,446.03946
597570.567,7508574.444,446.02567
597573.540,7508581.850,446.02469
597576.505,7508589.260,446.04620
597579.440,7508596.682,446.03799
597582.375,7508604.103,446.00702
597585.360,7508611.505,445.93805
597588.524,7508618.832,445.85754
597591.688,7508626.159,445.71115
597594.749,7508633.526,445.56128
597597.373,7508641.063,445.45804
597599.997,7508648.600,445.32306
597602.685,7508656.114,445.21609
597605.659,7508663.520,445.14386
597608.633,7508670.926,445.03439
597611.599,7508678.336,444.87714
597614.535,7508685.757,444.66809
597617.470,7508693.179,444.27042
597620.414,7508700.597,444.02737
597623.408,7508707.995,443.79660
597626.401,7508715.394,443.58740
597629.392,7508722.793,443.46954
597632.376,7508730.195,443.46255
597635.360,7508737.597,443.61334
597638.303,7508745.015,443.69803
597641.123,7508752.481,443.69675
597643.944,7508759.947,443.55869
597646.757,7508767.416,443.42740
597649.547,7508774.893,443.25476
597652.337,7508782.371,443.05728
597655.180,7508789.828,442.90677
597658.221,7508797.207,442.80222
597661.263,7508804.585,442.75092
597664.306,7508811.963,442.77264
597667.356,7508819.338,442.91455
597670.406,7508826.714,443.07678
597673.389,7508834.115,443.20648
597676.099,7508841.622,443.12964
597678.808,7508849.129,442.93390
597681.627,7508856.592,442.69357
597684.831,7508863.902,442.80811
597688.036,7508871.211,443.01093
597691.170,7508878.550,443.19016
597694.067,7508885.986,443.48230
597696.965,7508893.422,443.85553
597699.860,7508900.860,444.36404
597702.736,7508908.305,444.83676
597705.612,7508915.749,445.19565
597708.434,7508923.214,445.64169
597711.009,7508930.768,446.09286
597713.584,7508938.322,446.46472
597716.090,7508945.899,446.95370
597718.383,7508953.543,447.38232
597720.676,7508961.187,447.70334
597722.857,7508968.860,448.19519
597724.496,7508976.671,448.84097
597726.135,7508984.482,449.80481
597727.733,7508992.301,450.58267
597728.955,7509000.188,451.04404
597730.177,7509008.074,451.81284
597731.338,7509015.968,452.24146
597731.723,7509023.939,452.73331
597732.108,7509031.911,453.37909
597732.482,7509039.883,454.15695
597732.241,7509047.860,454.61832
597732.000,7509055.838,455.38712
