# utm_east, utm_north, elevation
597516.766,7508386.709,444.99350
597517.703,7508394.635,445.34021
597518.640,7508402.560,445.66983
597519.898,7508410.606,445.87061
597521.320,7508418.459,445.97861
597522.743,7508426.313,446.11270
597524.308,7508434.207,446.17612
597525.927,7508442.022,446.17395
597527.546,7508449.837,446.12161
597529.558,7508457.749,446.12695
597531.714,7508465.433,446.14709
597533.870,7508473.117,446.14575
597535.993,7508480.794,446.12769
597538.103,7508488.491,446.09006
597540.212,7508496.188,446.09021
597542.362,7508503.893,446.10303
597543.658,7508511.820,446.10257
597545.821,7508519.502,446.08331
597548.394,7508527.293,446.06485
597551.035,7508534.824,446.05466
597553.677,7508542.355,446.06055
597556.677,7508549.956,446.07800
597559.719,7508557.335,446.07083
597562.760,7508564.713,446.05005
597565.739,7508572.082,446.03918
597568.713,7508579.488,446.03073
597571.687,7508586.895,446.04614
597574.625,7508594.295,446.05414
597577.560,7508601.717,446.02936
597580.495,7508609.138,445.99057
597583.637,7508616.595,445.95447
597586.801,7508623.922,445.84088
597589.965,7508631.249,445.66403
597592.662,7508638.478,445.54605
597595.286,7508646.015,445.40030
597597.910,7508653.553,445.27399
597600.831,7508661.158,445.20624
597603.805,7508668.565,445.10760
597606.779,7508675.971,444.97711
597609.719,7508683.370,444.84320
597612.655,7508690.792,444.51407
597615.590,7508698.214,444.11591
